"bénéficiaire","département","montant versé en 2013 (€)","nature de la subvention","programme budgétaire","attributeur","département attributeur","année d'octroi  de la subvention","prénom","nom","sexe","url_sénat","url_nossénateurs","url_nossénateurs_api"
"SEVEUX",70,2166,"L'aménagement sécuritaire de la traversée du village et du hameau de la Vaivre (2ème tranche)",122,"KRATTINGER Yves",70,2011,"Yves","Krattinger","H","http://www.senat.fr/senateur/krattinger_yves03001n.html","http://nossenateurs.fr/yves-krattinger","http://nossenateurs.fr/yves-krattinger/json"
"SEVRAN",93,19239,"L'extension de l'école élémentaire Auguste Cretier et la construction d'un réfectoire",122,"LE TEXIER Raymonde",95,2010,"Raymonde","Le Texier","F","http://www.senat.fr/senateur/le_texier_raymonde04076n.html","http://nossenateurs.fr/raymonde-le-texier","http://nossenateurs.fr/raymonde-le-texier/json"
"SEVRIER",74,4526,"L'équipement des locaux de l'écomusée du lac d'Annecy",122,"AMOUDRY Jean-Paul",74,2012,"Jean-Paul","Amoudry","H","http://www.senat.fr/senateur/amoudry_jean_paul95005a.html","http://nossenateurs.fr/jean-paul-amoudry","http://nossenateurs.fr/jean-paul-amoudry/json"
"SEVRIER",74,10000,"L'extension de l'écomusée du lac d'Annecy",122,"AMOUDRY Jean-Paul",74,2011,"Jean-Paul","Amoudry","H","http://www.senat.fr/senateur/amoudry_jean_paul95005a.html","http://nossenateurs.fr/jean-paul-amoudry","http://nossenateurs.fr/jean-paul-amoudry/json"
"SEXEY-AUX-FORGES",54,5000,"La mise en sécurité de la route des Gimeys (2ème phase)",122,"REINER Daniel",54,2013,"Daniel","Reiner","H","http://www.senat.fr/senateur/reiner_daniel01014k.html","http://nossenateurs.fr/daniel-reiner","http://nossenateurs.fr/daniel-reiner/json"
"SEXEY-AUX-FORGES",54,6000,"La réalisation de travaux d'assainissement, rue du Château",122,"NACHBAR Philippe",54,2013,"Philippe","Nachbar","H","http://www.senat.fr/senateur/nachbar_philippe92040q.html","http://nossenateurs.fr/philippe-nachbar","http://nossenateurs.fr/philippe-nachbar/json"
"SEYRESSE",40,15000,"La réfection de la route départementale n° 344 dite ""route de l'église""",122,"CARTRON Françoise",33,2012,"Françoise","Cartron","F","http://www.senat.fr/senateur/cartron_francoise08024s.html","http://nossenateurs.fr/francoise-cartron","http://nossenateurs.fr/francoise-cartron/json"
"SEYSSEL",74,10000,"La réfection de la voirie, route de Clermont",122,"AMOUDRY Jean-Paul",74,2012,"Jean-Paul","Amoudry","H","http://www.senat.fr/senateur/amoudry_jean_paul95005a.html","http://nossenateurs.fr/jean-paul-amoudry","http://nossenateurs.fr/jean-paul-amoudry/json"
"SEYSSEL",74,15000,"L'acquisition de divers équipements pour la nouvelle cantine scolaire et d'un véhicule de transport des containers",122,"CARLE Jean-Claude",74,2012,"Jean-Claude","Carle","H","http://www.senat.fr/senateur/carle_jean_claude95015c.html","http://nossenateurs.fr/jean-claude-carle","http://nossenateurs.fr/jean-claude-carle/json"
"SI des écoles primaires et maternelles de Varreddes et Marcilly",77,4000,"Le ravalement de l'ancien bâtiment de l'école élémentaire ""La Tournoye""",122,"HOUEL Michel",77,2012,"Michel","Houel","H","http://www.senat.fr/senateur/houel_michel04048j.html","http://nossenateurs.fr/michel-houel","http://nossenateurs.fr/michel-houel/json"
"SIAEP de Montcresson",45,11000,"La réhabilitation de l'usine de dénitrification",122,"SUEUR Jean-Pierre",45,2012,"Jean-Pierre","Sueur","H","http://www.senat.fr/senateur/sueur_jean_pierre01028r.html","http://nossenateurs.fr/jean-pierre-sueur","http://nossenateurs.fr/jean-pierre-sueur/json"
"SIAEPAC de la Fontaine-Rouillée",53,20000,"L'aménagement d'un réseau d'assainissement des eaux usée, à Melleray-la-Vallée",122,"ZOCCHETTO François",53,2011,"François","Zocchetto","H","http://www.senat.fr/senateur/zocchetto_francois01047u.html","http://nossenateurs.fr/francois-zocchetto","http://nossenateurs.fr/francois-zocchetto/json"
"SIBIRIL",29,10011,"La réhabilitation de l'ancien bâtiment d'élevage de Kérespont en ateliers techniques et l'aménagement des abords",122,"ASSOULINE David",75,2011,"David","Assouline","H","http://www.senat.fr/senateur/assouline_david04059m.html","http://nossenateurs.fr/david-assouline","http://nossenateurs.fr/david-assouline/json"
"SICTOM des Bassins du Haut-Tarn",48,15000,"L'acquisition d'un véhicule de collecte des ordures ménagères",122,"BERTRAND Alain",48,2012,"Alain","Bertrand","H","http://www.senat.fr/senateur/bertrand_alain11081p.html","http://nossenateurs.fr/alain-bertrand","http://nossenateurs.fr/alain-bertrand/json"
"SIGALENS",33,3144,"La restauration du clocher oriental de l'église Saint- Martin-de-Monclaris",122,"PINTAT Xavier",33,2010,"Xavier","Pintat","H","http://www.senat.fr/senateur/pintat_xavier98021n.html","http://nossenateurs.fr/xavier-pintat","http://nossenateurs.fr/xavier-pintat/json"
"SIGALENS",33,4757,"La restauration du chevet et de la voûte de l'église Saint-Martin-de-Monclaris",122,"PINTAT Xavier",33,2011,"Xavier","Pintat","H","http://www.senat.fr/senateur/pintat_xavier98021n.html","http://nossenateurs.fr/xavier-pintat","http://nossenateurs.fr/xavier-pintat/json"
"SIGOURNAIS",85,5342,"La construction d'une salle polyvalente",122,"RETAILLEAU Bruno",85,2010,"Bruno","Retailleau","H","http://www.senat.fr/senateur/retailleau_bruno04033b.html","http://nossenateurs.fr/bruno-retailleau","http://nossenateurs.fr/bruno-retailleau/json"
"SIIS de Préfontaines- Fontenay- Nargis- Courtempierre",45,8354,"L'extension de l'école de Fontenay",122,"SUEUR Jean-Pierre",45,2011,"Jean-Pierre","Sueur","H","http://www.senat.fr/senateur/sueur_jean_pierre01028r.html","http://nossenateurs.fr/jean-pierre-sueur","http://nossenateurs.fr/jean-pierre-sueur/json"
"SIIS Saint-Cyr-en-Arthies - Villers-en- Arthies - Vienne-en-Arthies",95,9682,"La réalisation de travaux de rénovation des locaux scolaires et périscolaires",122,"SUEUR Jean-Pierre",45,2013,"Jean-Pierre","Sueur","H","http://www.senat.fr/senateur/sueur_jean_pierre01028r.html","http://nossenateurs.fr/jean-pierre-sueur","http://nossenateurs.fr/jean-pierre-sueur/json"
