"bénéficiaire","département","montant versé en 2013 (€)","nature de la subvention","programme budgétaire","attributeur","département attributeur","année d'octroi  de la subvention","prénom","nom","sexe","url_sénat","url_nossénateurs","url_nossénateurs_api"
"ABLON-SUR-SEINE",94,4496,"Le réaménagement du parc Sully",122,"LAGAUCHE Serge",94,2009,"Serge","Lagauche","H","http://www.senat.fr/senateur/lagauche_serge97004h.html","http://nossenateurs.fr/serge-lagauche","http://nossenateurs.fr/serge-lagauche/json"
"ABLON-SUR-SEINE",94,6000,"La réhabilitation de la rue du Bac",122,"PLACE Jean-Vincent",91,2012,"Jean-Vincent","Placé","H","http://www.senat.fr/senateur/place_jean_vincent11069t.html","http://nossenateurs.fr/jean-vincent-place","http://nossenateurs.fr/jean-vincent-place/json"
"ABLON-SUR-SEINE",94,10000,"L'acquisition d'une balayeuse",122,"LE MENN Jacky",35,2012,"Jacky","Le Menn","H","http://www.senat.fr/senateur/le_menn_jacky08037x.html","http://nossenateurs.fr/jacky-le-menn","http://nossenateurs.fr/jacky-le-menn/json"
"ABONCOURT",57,1424,"La réfection des murs intérieurs de la salle Saint- Luc",122,"MASSON Jean-Louis",57,2010,"Jean Louis","Masson","H","http://www.senat.fr/senateur/masson_jean_louis01060r.html","http://nossenateurs.fr/jean-louis-masson","http://nossenateurs.fr/jean-louis-masson/json"
"ABONCOURT",57,1640,"L'aménagement d'une aire de jeux, rue de Neudelange",122,"ADNOT Philippe",10,2011,"Philippe","Adnot","H","http://www.senat.fr/senateur/adnot_philippe89017r.html","http://nossenateurs.fr/philippe-adnot","http://nossenateurs.fr/philippe-adnot/json"
"ACHAIN",57,1000,"L'acquisition de matériel informatique et de logiciels de gestion pour le secrétariat de mairie",122,"LEROY Philippe",57,2011,"Philippe","Leroy","H","http://www.senat.fr/senateur/leroy_philippe01061s.html","http://nossenateurs.fr/philippe-leroy","http://nossenateurs.fr/philippe-leroy/json"
"ACHERES",78,4491,"L'acquisition de tableaux numériques interactifs pour les écoles",122,"TASCA Catherine",78,2011,"Catherine","Tasca","F","http://www.senat.fr/senateur/tasca_catherine04056j.html","http://nossenateurs.fr/catherine-tasca","http://nossenateurs.fr/catherine-tasca/json"
"ACHUN",58,7156,"La réhabilitation de la mairie (2ème tranche)",122,"CARRERE Jean-Louis",40,2012,"Jean-Louis","Carrère","H","http://www.senat.fr/senateur/carrere_jean_louis92015p.html","http://nossenateurs.fr/jean-louis-carrere","http://nossenateurs.fr/jean-louis-carrere/json"
"ACQUIGNY",27,10000,"L'acquisition de mobilier pour le groupe scolaire, le restaurant scolaire et la bibliothèque",122,"BOURDIN Joël",27,2012,"Joël","Bourdin","H","http://www.senat.fr/senateur/bourdin_joel89022n.html","http://nossenateurs.fr/joel-bourdin","http://nossenateurs.fr/joel-bourdin/json"
"ACY-ROMANCE",8,3884,"L'acquisition de panneaux de signalisation",122,"LAMENIE Marc",8,2012,"Marc","Laménie","H","http://www.senat.fr/senateur/lamenie_marc07029t.html","http://nossenateurs.fr/marc-lamenie","http://nossenateurs.fr/marc-lamenie/json"
"AFFLEVILLE",54,4500,"La restructuration de la mairie",122,"HUSSON Jean-François",54,2012,"Jean-François","Husson","H","http://www.senat.fr/senateur/husson_jean_francois11048n.html","http://nossenateurs.fr/jean-francois-husson","http://nossenateurs.fr/jean-francois-husson/json"
"AGEL",34,7960,"La réhabilitation de la station d'épuration et l'acquisition d'un terrain en vue de la construction d'une nouvelle station d'épuration",122,"TROPEANO Robert",34,2011,"Robert","Tropeano","H","http://www.senat.fr/senateur/tropeano_robert06004e.html","http://nossenateurs.fr/robert-tropeano","http://nossenateurs.fr/robert-tropeano/json"
"AGEL",34,21814,"La réfection du centre ancien",122,"RAOUL Daniel",49,2012,"Daniel","Raoul","H","http://www.senat.fr/senateur/raoul_daniel01016m.html","http://nossenateurs.fr/daniel-raoul","http://nossenateurs.fr/daniel-raoul/json"
"AGENVILLERS",80,2000,"L'acquisition de divers équipements pour la salle communale",122,"DUBOIS Daniel",80,2012,"Daniel","Dubois","H","http://www.senat.fr/senateur/dubois_daniel04089t.html","http://nossenateurs.fr/daniel-dubois","http://nossenateurs.fr/daniel-dubois/json"
"AGNICOURT-SECHELLES",2,1929,"La restructuration des cimetières",122,"LE TEXIER Raymonde",95,2011,"Raymonde","Le Texier","F","http://www.senat.fr/senateur/le_texier_raymonde04076n.html","http://nossenateurs.fr/raymonde-le-texier","http://nossenateurs.fr/raymonde-le-texier/json"
"AGNICOURT-SECHELLES",2,2700,"La remise en état du pignon de la salle des fêtes",122,"JEANNEROT Claude",25,2012,"Claude","Jeannerot","H","http://www.senat.fr/senateur/jeannerot_claude08067e.html","http://nossenateurs.fr/claude-jeannerot","http://nossenateurs.fr/claude-jeannerot/json"
"AGNIN",38,1280,"La construction de locaux commerciaux et de services au centre du village",122,"DAVID Annie",38,2012,"Annie","David","F","http://www.senat.fr/senateur/david_annie01059y.html","http://nossenateurs.fr/annie-david","http://nossenateurs.fr/annie-david/json"
"AGNIN",38,7909,"La restauration de l'église (1ère tranche)",122,"SAVIN Michel",38,2012,"Michel","Savin","H","http://www.senat.fr/senateur/savin_michel11043h.html","http://nossenateurs.fr/michel-savin","http://nossenateurs.fr/michel-savin/json"
"AGONAC",24,5000,"Le traitement des eaux pluviales, chemin des Crozes, ruelle Frotaire et rue des Jardins",122,"RAOUL Daniel",49,2012,"Daniel","Raoul","H","http://www.senat.fr/senateur/raoul_daniel01016m.html","http://nossenateurs.fr/daniel-raoul","http://nossenateurs.fr/daniel-raoul/json"
"AGRIS",16,8802,"La réhabilitation d'une grange en bibliothèque",122,"MARC François",29,2011,"François","Marc","H","http://www.senat.fr/senateur/marc_francois98046x.html","http://nossenateurs.fr/francois-marc","http://nossenateurs.fr/francois-marc/json"
"AGUESSAC",12,1581,"L'acquisition et l'aménagement d'un local d'archives",122,"HERVIAUX Odette",56,2012,"Odette","Herviaux","F","http://www.senat.fr/senateur/herviaux_odette01022k.html","http://nossenateurs.fr/odette-herviaux","http://nossenateurs.fr/odette-herviaux/json"
"AGY",14,4521,"La réfection de la voirie (programme 2012)",122,"DUPONT Jean-Léonce",14,2012,"Jean-Léonce","Dupont","H","http://www.senat.fr/senateur/dupont_jean_leonce98042t.html","http://nossenateurs.fr/jean-leonce-dupont","http://nossenateurs.fr/jean-leonce-dupont/json"
"AHUILLE",53,12799,"L'aménagement paysager et urbain du centre-bourg (programmes 2012-2013)",122,"ARTHUIS Jean",53,2011,"Jean","Arthuis","H","http://www.senat.fr/senateur/arthuis_jean83011j.html","http://nossenateurs.fr/jean-arthuis","http://nossenateurs.fr/jean-arthuis/json"
"AIGLEVILLE",27,1125,"La mise en place de l'éclairage public, rue de la Fontaine",122,"PONIATOWSKI Ladislas",27,2012,"Ladislas","Poniatowski","H","http://www.senat.fr/senateur/poniatowski_ladislas98050t.html","http://nossenateurs.fr/ladislas-poniatowski","http://nossenateurs.fr/ladislas-poniatowski/json"
"AIGONNAY",79,7622,"La réhabilitation de la salle des fêtes",122,"DULAIT André",79,2012,"André","Dulait","H","http://www.senat.fr/senateur/dulait_andre95028h.html","http://nossenateurs.fr/andre-dulait","http://nossenateurs.fr/andre-dulait/json"
"AIGUES-VIVES",30,4375,"Des études préalables à la mise en valeur de la maison natale du Président Gaston Doumergue",122,"_Dotation institutionnelle",75,2012,"","","","","",""
"AIGUILLON",47,13717,"Le réaménagement de l'école élémentaire Marcel Pagnol (8ème tranche)",122,"HERVIAUX Odette",56,2012,"Odette","Herviaux","F","http://www.senat.fr/senateur/herviaux_odette01022k.html","http://nossenateurs.fr/odette-herviaux","http://nossenateurs.fr/odette-herviaux/json"
"AILLY",27,745,"La restauration du clocher de l'église",122,"BOURDIN Joël",27,2005,"Joël","Bourdin","H","http://www.senat.fr/senateur/bourdin_joel89022n.html","http://nossenateurs.fr/joel-bourdin","http://nossenateurs.fr/joel-bourdin/json"
"AIME",73,5000,"Des travaux de voirie (programme 2012)",122,"VIAL Jean-Pierre",73,2012,"Jean-Pierre","Vial","H","http://www.senat.fr/senateur/vial_jean_pierre95067q.html","http://nossenateurs.fr/jean-pierre-vial","http://nossenateurs.fr/jean-pierre-vial/json"
"AINAY-LE-VIEIL",18,203,"L'enfouissement des réseaux rue Jean Valette (4ème tranche)",122,"POINTEREAU Rémy",18,2009,"Rémy","Pointereau","H","http://www.senat.fr/senateur/pointereau_remy05012a.html","http://nossenateurs.fr/remy-pointereau","http://nossenateurs.fr/remy-pointereau/json"
"AINCOURT",95,270,"La réfection de la route de Brunel",122,"ANGELS Bernard",95,2011,"Bernard","Angels","H","http://www.senat.fr/senateur/angels_bernard97009n.html","http://nossenateurs.fr/bernard-angels","http://nossenateurs.fr/bernard-angels/json"
"AINGEVILLE",88,3000,"La réfection des toitures du lavoir, de la mairie et du bûcher",122,"PIERRE Jackie",88,2011,"Jackie","Pierre","H","http://www.senat.fr/senateur/pierre_jackie04088s.html","http://nossenateurs.fr/jackie-pierre","http://nossenateurs.fr/jackie-pierre/json"
"AINGOULAINCOURT",52,595,"L'effacement des réseaux aériens",122,"SIDO Bruno",52,2012,"Bruno","Sido","H","http://www.senat.fr/senateur/sido_bruno01058x.html","http://nossenateurs.fr/bruno-sido","http://nossenateurs.fr/bruno-sido/json"
"AINGOULAINCOURT",52,3200,"La restauration de la toiture, des façades et du plafond du coeur de l'église",122,"SIDO Bruno",52,2012,"Bruno","Sido","H","http://www.senat.fr/senateur/sido_bruno01058x.html","http://nossenateurs.fr/bruno-sido","http://nossenateurs.fr/bruno-sido/json"
"AISEREY",21,13600,"L'aménagement d'une aire de jeux extérieurs pour enfants, place Gau Bickelheim",122,"REBSAMEN François",21,2012,"François","Rebsamen","H","http://www.senat.fr/senateur/rebsamen_francois08070y.html","http://nossenateurs.fr/francois-rebsamen","http://nossenateurs.fr/francois-rebsamen/json"
"AIZANVILLE",52,12000,"L'aménagement de la place du village",122,"GUENE Charles",52,2012,"Charles","Guené","H","http://www.senat.fr/senateur/guene_charles01057w.html","http://nossenateurs.fr/charles-guene","http://nossenateurs.fr/charles-guene/json"
"AIZIER",27,6030,"L'acquisition de la ""Maison Le Pallec"" en vue de la création d'un restaurant",122,"BOURDIN Joël",27,2011,"Joël","Bourdin","H","http://www.senat.fr/senateur/bourdin_joel89022n.html","http://nossenateurs.fr/joel-bourdin","http://nossenateurs.fr/joel-bourdin/json"
"AJOUPA-BOUILLON",972,1143,"L'aménagement de la route du Stade",122,"LARCHER Gérard",78,2010,"Gérard","Larcher","H","http://www.senat.fr/senateur/larcher_gerard86034e.html","http://nossenateurs.fr/gerard-larcher","http://nossenateurs.fr/gerard-larcher/json"
"ALAIRAC",11,10000,"L'aménagement du terrain de football et de ses abords",122,"HERVIAUX Odette",56,2012,"Odette","Herviaux","F","http://www.senat.fr/senateur/herviaux_odette01022k.html","http://nossenateurs.fr/odette-herviaux","http://nossenateurs.fr/odette-herviaux/json"
"ALAIRAC",11,20000,"L'aménagement et la mise en sécurité du chemin du Moulin",122,"CARTRON Françoise",33,2012,"Françoise","Cartron","F","http://www.senat.fr/senateur/cartron_francoise08024s.html","http://nossenateurs.fr/francoise-cartron","http://nossenateurs.fr/francoise-cartron/json"
"ALBA-LA-ROMAINE",7,10000,"L'aménagement de l'entrée du village, RD 263, de la croisée Saint-Pierre au Pont d'Alba",122,"HERVIAUX Odette",56,2012,"Odette","Herviaux","F","http://www.senat.fr/senateur/herviaux_odette01022k.html","http://nossenateurs.fr/odette-herviaux","http://nossenateurs.fr/odette-herviaux/json"
"ALBAS",11,18900,"La consolidation de l'église",122,"CARTRON Françoise",33,2012,"Françoise","Cartron","F","http://www.senat.fr/senateur/cartron_francoise08024s.html","http://nossenateurs.fr/francoise-cartron","http://nossenateurs.fr/francoise-cartron/json"
"ALBE",67,7820,"La réfection de la toiture de l'école rue de l'Erlenbach",122,"SITTLER Esther",67,2012,"Esther","Sittler","F","http://www.senat.fr/senateur/sittler_esther04069p.html","http://nossenateurs.fr/esther-sittler","http://nossenateurs.fr/esther-sittler/json"
"ALBESTROFF",57,3295,"La réfection de l'escalier extérieur de la mairie et l'aménagement d'une rampe d'accès destinée aux personnes à mobilité réduite",122,"TODESCHINI Jean-Marc",57,2011,"Jean-Marc","Todeschini","H","http://www.senat.fr/senateur/todeschini_jean_marc01062t.html","http://nossenateurs.fr/jean-marc-todeschini","http://nossenateurs.fr/jean-marc-todeschini/json"
"ALEXAIN",53,36897,"La construction d'un groupe scolaire",122,"ARTHUIS Jean",53,2010,"Jean","Arthuis","H","http://www.senat.fr/senateur/arthuis_jean83011j.html","http://nossenateurs.fr/jean-arthuis","http://nossenateurs.fr/jean-arthuis/json"
"ALGRANGE",57,3555,"L'aménagement d'un préau dans la cour de l'école Batzenthal",122,"BRICQ Nicole",77,2012,"Nicole","Bricq","F","http://www.senat.fr/senateur/bricq_nicole04053f.html","http://nossenateurs.fr/nicole-bricq","http://nossenateurs.fr/nicole-bricq/json"
"ALINCOURT",8,2500,"La mise en accessibilité de la mairie",122,"HURE Benoît",8,2010,"Benoît","Huré","H","http://www.senat.fr/senateur/hure_benoit04097t.html","http://nossenateurs.fr/benoit-hure","http://nossenateurs.fr/benoit-hure/json"
"ALINCTHUN",62,1600,"La construction d'une école maternelle et d'une cantine scolaire",122,"SERGENT Michel",62,2010,"Michel","Sergent","H","http://www.senat.fr/senateur/sergent_michel92043t.html","http://nossenateurs.fr/michel-sergent","http://nossenateurs.fr/michel-sergent/json"
"ALISE-SAINTE-REINE",21,6966,"La réhabilitation du réseau d'eaux pluviales (1ère tranche)",122,"REBSAMEN François",21,2009,"François","Rebsamen","H","http://www.senat.fr/senateur/rebsamen_francois08070y.html","http://nossenateurs.fr/francois-rebsamen","http://nossenateurs.fr/francois-rebsamen/json"
"ALLAINVILLE-AUX-BOIS",78,6814,"L'acquisition et l'installation de jeux pour enfants",122,"LARCHER Gérard",78,2012,"Gérard","Larcher","H","http://www.senat.fr/senateur/larcher_gerard86034e.html","http://nossenateurs.fr/gerard-larcher","http://nossenateurs.fr/gerard-larcher/json"
"ALLAMPS",54,1143,"La réfection du Carré Militaire dans l'enceinte du cimetière",122,"REINER Daniel",54,2012,"Daniel","Reiner","H","http://www.senat.fr/senateur/reiner_daniel01014k.html","http://nossenateurs.fr/daniel-reiner","http://nossenateurs.fr/daniel-reiner/json"
"ALLERY",80,10826,"La restauration de l'église Saint-Sauveur",122,"MARTIN Pierre",80,2010,"Pierre","Martin","H","http://www.senat.fr/senateur/martin_pierre95047l.html","http://nossenateurs.fr/pierre-martin","http://nossenateurs.fr/pierre-martin/json"
"ALLIBAUDIERES",10,4750,"L'aménagement de la rue Paul Matthelié (RD 137)",122,"ADNOT Philippe",10,2010,"Philippe","Adnot","H","http://www.senat.fr/senateur/adnot_philippe89017r.html","http://nossenateurs.fr/philippe-adnot","http://nossenateurs.fr/philippe-adnot/json"
"ALLONDANS",25,9522,"La réfection et l'aménagement du local de stockage, rue des Combes",122,"HERVIAUX Odette",56,2012,"Odette","Herviaux","F","http://www.senat.fr/senateur/herviaux_odette01022k.html","http://nossenateurs.fr/odette-herviaux","http://nossenateurs.fr/odette-herviaux/json"
"ALLONS",4,1825,"L'acquisition d'un abri-bus",122,"CARTRON Françoise",33,2013,"Françoise","Cartron","F","http://www.senat.fr/senateur/cartron_francoise08024s.html","http://nossenateurs.fr/francoise-cartron","http://nossenateurs.fr/francoise-cartron/json"
"ALMENECHES",61,1792,"La restauration de l'Abbatiale Sainte-Opportune (1ère tranche)",122,"GOULET Nathalie",61,2011,"Nathalie","Goulet","F","http://www.senat.fr/senateur/goulet_nathalie07004j.html","http://nossenateurs.fr/nathalie-goulet","http://nossenateurs.fr/nathalie-goulet/json"
"ALSTING",57,5561,"La réhabilitation de la cuisine, à la salle polyvalente",122,"TODESCHINI Jean-Marc",57,2011,"Jean-Marc","Todeschini","H","http://www.senat.fr/senateur/todeschini_jean_marc01062t.html","http://nossenateurs.fr/jean-marc-todeschini","http://nossenateurs.fr/jean-marc-todeschini/json"
"ALTHEN-DES-PALUDS",84,7455,"L'extension de l'école maternelle et l'installation de panneaux photovoltaïques (2ème tranche)",122,"DUFAUT Alain",84,2009,"Alain","Dufaut","H","http://www.senat.fr/senateur/dufaut_alain87003b.html","http://nossenateurs.fr/alain-dufaut","http://nossenateurs.fr/alain-dufaut/json"
"ALTVILLER",57,1800,"L'aménagement et la mise en accessibilité de l'allée du cimetière (2ème tranche)",122,"MASSON Jean-Louis",57,2013,"Jean Louis","Masson","H","http://www.senat.fr/senateur/masson_jean_louis01060r.html","http://nossenateurs.fr/jean-louis-masson","http://nossenateurs.fr/jean-louis-masson/json"
"AMANCE",10,500,"La réfection de la charpente de l'église de la Ville aux Bois",122,"ADNOT Philippe",10,2010,"Philippe","Adnot","H","http://www.senat.fr/senateur/adnot_philippe89017r.html","http://nossenateurs.fr/philippe-adnot","http://nossenateurs.fr/philippe-adnot/json"
"AMANCE",10,2497,"L'aménagement de la voirie, rue Saint-Martin et chemin d'Unienville",122,"ADNOT Philippe",10,2012,"Philippe","Adnot","H","http://www.senat.fr/senateur/adnot_philippe89017r.html","http://nossenateurs.fr/philippe-adnot","http://nossenateurs.fr/philippe-adnot/json"
"AMANVILLERS",57,5000,"L'acquisition de mobilier d'ornement",122,"TODESCHINI Jean-Marc",57,2011,"Jean-Marc","Todeschini","H","http://www.senat.fr/senateur/todeschini_jean_marc01062t.html","http://nossenateurs.fr/jean-marc-todeschini","http://nossenateurs.fr/jean-marc-todeschini/json"
"AMBERNAC",16,3221,"Assainissement du bourg",122,"de RICHEMONT Henri",16,2007,"Henri de","Richemont","H","http://www.senat.fr/senateur/de_richemont_henri98039y.html","http://nossenateurs.fr/henri-de-richemont","http://nossenateurs.fr/henri-de-richemont/json"
"AMBLAINVILLE",60,10776,"L'aménagement des abords de l'église",122,"MARINI Philippe",60,2011,"Philippe","Marini","H","http://www.senat.fr/senateur/marini_philippe92035t.html","http://nossenateurs.fr/philippe-marini","http://nossenateurs.fr/philippe-marini/json"
"AMBLANS-ET-VELOTTE",70,6157,"La création d'une mairie dans le cadre du projet global de construction d'une maison de services et de loisirs",122,"PEYRONNET Jean-Claude",87,2010,"Jean-Claude","Peyronnet","H","http://www.senat.fr/senateur/peyronnet_jean_claude95055l.html","http://nossenateurs.fr/jean-claude-peyronnet","http://nossenateurs.fr/jean-claude-peyronnet/json"
"AMBOISE",37,11500,"La construction d'un équipement sportif lié au boulodrome et une salle de quartier",122,"HERVIAUX Odette",56,2012,"Odette","Herviaux","F","http://www.senat.fr/senateur/herviaux_odette01022k.html","http://nossenateurs.fr/odette-herviaux","http://nossenateurs.fr/odette-herviaux/json"
"AMBON",56,11250,"La construction d'une mairie",122,"HERVIAUX Odette",56,2010,"Odette","Herviaux","F","http://www.senat.fr/senateur/herviaux_odette01022k.html","http://nossenateurs.fr/odette-herviaux","http://nossenateurs.fr/odette-herviaux/json"
"AMBONVILLE",52,2530,"La réhabilitation de la mairie et l'aménagement de logements communaux",122,"SIDO Bruno",52,2009,"Bruno","Sido","H","http://www.senat.fr/senateur/sido_bruno01058x.html","http://nossenateurs.fr/bruno-sido","http://nossenateurs.fr/bruno-sido/json"
"AMBRAULT",36,5000,"L'aménagement paysager des jardins publics de la mairie et de Boisramier",122,"PINTON Louis",36,2011,"Louis","Pinton","H","http://www.senat.fr/senateur/pinton_louis07032n.html","http://nossenateurs.fr/louis-pinton","http://nossenateurs.fr/louis-pinton/json"
"AMBRIEF",2,5000,"L'aménagement des réseaux (3ème tranche)",122,"LEFEVRE Antoine",2,2011,"Antoine","Lefèvre","H","http://www.senat.fr/senateur/lefevre_antoine08010l.html","http://nossenateurs.fr/antoine-lefevre","http://nossenateurs.fr/antoine-lefevre/json"
"AMBRINES",62,6274,"L'aménagement de trottoirs, rues de Magnicourt et de Maizières, la création d'un parking au cimetière et la réfection du chemin de Penin et de la Petite Rue",122,"VANLERENBERGHE Jean-Marie",62,2011,"Jean-Marie","Vanlerenberghe","H","http://www.senat.fr/senateur/vanlerenberghe_jean_marie01034p.html","http://nossenateurs.fr/jean-marie-vanlerenberghe","http://nossenateurs.fr/jean-marie-vanlerenberghe/json"
"AMBRONAY",1,6000,"La construction d'une école primaire et d'un restaurant scolaire au lieu-dit ""La Laupinière""",122,"CARRERE Jean-Louis",40,2012,"Jean-Louis","Carrère","H","http://www.senat.fr/senateur/carrere_jean_louis92015p.html","http://nossenateurs.fr/jean-louis-carrere","http://nossenateurs.fr/jean-louis-carrere/json"
"AMEUGNY",71,1163,"L'élaboration d'un plan local d'urbanisme",122,"EMORINE Jean-Paul",71,2012,"Jean-Paul","Emorine","H","http://www.senat.fr/senateur/emorine_jean_paul95030b.html","http://nossenateurs.fr/jean-paul-emorine","http://nossenateurs.fr/jean-paul-emorine/json"
"AMFREVILLE-LA-CAMPAGNE",27,2000,"L'édification d'un columbarium et l'aménagement d'un jardin du souvenir",122,"PONIATOWSKI Ladislas",27,2012,"Ladislas","Poniatowski","H","http://www.senat.fr/senateur/poniatowski_ladislas98050t.html","http://nossenateurs.fr/ladislas-poniatowski","http://nossenateurs.fr/ladislas-poniatowski/json"
"AMFREVILLE-SOUS-LES-MONTS 27 - Eure","",2000,"La réfection du mur de soutènement situé entre l'impasse de la Motelle et la salle polyvalente",122,"MAUREY Hervé",27,2013,"Hervé","Maurey","H","http://www.senat.fr/senateur/maurey_herve08009t.html","http://nossenateurs.fr/herve-maurey","http://nossenateurs.fr/herve-maurey/json"
"AMIFONTAINE",2,4823,"La réfection du château d'eau",122,"LEFEVRE Antoine",2,2011,"Antoine","Lefèvre","H","http://www.senat.fr/senateur/lefevre_antoine08010l.html","http://nossenateurs.fr/antoine-lefevre","http://nossenateurs.fr/antoine-lefevre/json"
"AMILLY",28,4901,"L'aménagement de la cour de l'école maternelle",122,"CORNU Gérard",28,2011,"Gérard","Cornu","H","http://www.senat.fr/senateur/cornu_gerard98023q.html","http://nossenateurs.fr/gerard-cornu","http://nossenateurs.fr/gerard-cornu/json"
"AMILLY",45,20000,"L'installation d'une sculpture et l'aménagement d'un mur des écritures, place de Nordwalde",122,"SUEUR Jean-Pierre",45,2010,"Jean-Pierre","Sueur","H","http://www.senat.fr/senateur/sueur_jean_pierre01028r.html","http://nossenateurs.fr/jean-pierre-sueur","http://nossenateurs.fr/jean-pierre-sueur/json"
"AMOROTS-SUCCOS",64,3542,"L'aménagement du bourg d'Amorots",122,"BOROTRA Didier",64,2011,"Didier","Borotra","H","http://www.senat.fr/senateur/borotra_didier92013m.html","http://nossenateurs.fr/didier-borotra","http://nossenateurs.fr/didier-borotra/json"
"ANCEMONT",55,5000,"L'aménagement d'une aire de jeux au lieu-dit ""La Ruelle""",122,"NAMY Christian",55,2012,"Christian","Namy","H","http://www.senat.fr/senateur/namy_christian11082q.html","http://nossenateurs.fr/christian-namy","http://nossenateurs.fr/christian-namy/json"
"ANCENIS",44,19894,"La construction et l'aménagement d'équipements sportifs et de loisirs dans le quartier Pressoir- Rouge Bois Jauni",122,"PAPON Monique",44,2011,"Monique","Papon","F","http://www.senat.fr/senateur/papon_monique01054t.html","http://nossenateurs.fr/monique-papon","http://nossenateurs.fr/monique-papon/json"
"ANCENIS",44,32351,"La reconstruction du groupe scolaire Camus",122,"GAUTIER Gisèle",44,2009,"Gisèle","Gautier","F","http://www.senat.fr/senateur/gautier_gisele01055u.html","http://nossenateurs.fr/gisele-gautier","http://nossenateurs.fr/gisele-gautier/json"
"ANCERVILLE",55,764,"La requalification et l'aménagement de la rue Paquet en ""zone 30""",122,"LONGUET Gérard",55,2010,"Gérard","Longuet","H","http://www.senat.fr/senateur/longuet_gerard01048v.html","http://nossenateurs.fr/gerard-longuet","http://nossenateurs.fr/gerard-longuet/json"
"ANCERVILLER",54,3427,"La réfection de la toiture du bâtiment mairie-école et de la salle des Pompes",122,"NACHBAR Philippe",54,2012,"Philippe","Nachbar","H","http://www.senat.fr/senateur/nachbar_philippe92040q.html","http://nossenateurs.fr/philippe-nachbar","http://nossenateurs.fr/philippe-nachbar/json"
"ANCEY",21,7000,"La réfection de la voirie, rue de la Gare et ruelle des Coins",122,"CARTRON Françoise",33,2012,"Françoise","Cartron","F","http://www.senat.fr/senateur/cartron_francoise08024s.html","http://nossenateurs.fr/francoise-cartron","http://nossenateurs.fr/francoise-cartron/json"
"ANCONE",26,6000,"Le réaménagement du Club du 3ème âge et de l'agence postale communale dits ""Les Bateliers""",122,"BOULAUD Didier",58,2011,"Didier","Boulaud","H","http://www.senat.fr/senateur/boulaud_didier01051q.html","http://nossenateurs.fr/didier-boulaud","http://nossenateurs.fr/didier-boulaud/json"
"ANCOURTEVILLE-SUR- HERICOURT",76,1500,"La réfection de la cour de l'école",122,"REVET Charles",76,2012,"Charles","Revet","H","http://www.senat.fr/senateur/revet_charles95062k.html","http://nossenateurs.fr/charles-revet","http://nossenateurs.fr/charles-revet/json"
"ANCOURTEVILLE-SUR- HERICOURT",76,4000,"La restauration du beffroi de l'église et l'électrification de la cloche",122,"REVET Charles",76,2012,"Charles","Revet","H","http://www.senat.fr/senateur/revet_charles95062k.html","http://nossenateurs.fr/charles-revet","http://nossenateurs.fr/charles-revet/json"
"ANCY-SUR-MOSELLE",57,2000,"La réfection du parvis de l'église",122,"MASSON Jean-Louis",57,2012,"Jean Louis","Masson","H","http://www.senat.fr/senateur/masson_jean_louis01060r.html","http://nossenateurs.fr/jean-louis-masson","http://nossenateurs.fr/jean-louis-masson/json"
"ANCY-SUR-MOSELLE",57,4166,"L'aménagement de logements locatifs au-dessus de l'école primaire",122,"TODESCHINI Jean-Marc",57,2011,"Jean-Marc","Todeschini","H","http://www.senat.fr/senateur/todeschini_jean_marc01062t.html","http://nossenateurs.fr/jean-marc-todeschini","http://nossenateurs.fr/jean-marc-todeschini/json"
"ANDANCE",7,1778,"L'inscription et la mise en lumière du nom de la commune sur le mur soutenant le belvédère situé en bordure du Rhône",122,"MARC François",29,2011,"François","Marc","H","http://www.senat.fr/senateur/marc_francois98046x.html","http://nossenateurs.fr/francois-marc","http://nossenateurs.fr/francois-marc/json"
"ANDELOT-BLANCHEVILLE",52,4618,"La construction d'une caserne de gendarmerie",122,"GUENE Charles",52,2010,"Charles","Guené","H","http://www.senat.fr/senateur/guene_charles01057w.html","http://nossenateurs.fr/charles-guene","http://nossenateurs.fr/charles-guene/json"
"ANDILLY",54,3667,"L'acquisition de mobilier pour la nouvelle mairie",122,"BOULAUD Didier",58,2011,"Didier","Boulaud","H","http://www.senat.fr/senateur/boulaud_didier01051q.html","http://nossenateurs.fr/didier-boulaud","http://nossenateurs.fr/didier-boulaud/json"
"ANDON",6,2145,"L'acquisition d'un podium",122,"RAOUL Daniel",49,2011,"Daniel","Raoul","H","http://www.senat.fr/senateur/raoul_daniel01016m.html","http://nossenateurs.fr/daniel-raoul","http://nossenateurs.fr/daniel-raoul/json"
"ANDOUILLE",53,20000,"L'extension et la réhabilitation des vestiaires et la réfection de l'éclairage de la tribune d'honneur du stade",122,"ZOCCHETTO François",53,2010,"François","Zocchetto","H","http://www.senat.fr/senateur/zocchetto_francois01047u.html","http://nossenateurs.fr/francois-zocchetto","http://nossenateurs.fr/francois-zocchetto/json"
"ANDRESY",78,14841,"La réfection du bâtiment ""Le Moussel""",122,"LARCHER Gérard",78,2011,"Gérard","Larcher","H","http://www.senat.fr/senateur/larcher_gerard86034e.html","http://nossenateurs.fr/gerard-larcher","http://nossenateurs.fr/gerard-larcher/json"
