"bénéficiaire","département","montant versé en 2013 (€)","nature de la subvention","programme budgétaire","attributeur","département attributeur","mandat attributeur","année d'octroi de la subvention","prénom","nom","sexe","groupe","url_institution","url_nosparlementaires","url_nosparlementaires_api"
"Association Renaissance Saintoise","",20000,"Location d'un local pour l'association et achat de mobilier et matériel informatique afin de publier un bulletin de liaison de l'association.",224,"VAUZELLE Michel",13,"Député","","Michel","Vauzelle","H","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/2883.asp","http://www.nosdeputes.fr/michel-vauzelle","http://www.nosdeputes.fr/michel-vauzelle/xml"
"Association Renefer","",1500,"Activités culturelles-soutien d'un peintre debut XX",224,"RICHARD Arnaud",78,"Député","","Arnaud","Richard","H","UDI","http://www.assemblee-nationale.fr/14/tribun/fiches_id/345897.asp","http://www.nosdeputes.fr/arnaud-richard","http://www.nosdeputes.fr/arnaud-richard/xml"
"Association RENOUER","",1000,"Fonctionnement",102,"LARRIVE Guillaume",89,"Député","","Guillaume","Larrivé","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/267785.asp","http://www.nosdeputes.fr/guillaume-larrive","http://www.nosdeputes.fr/guillaume-larrive/xml"
"ASSOCIATION RESEAU CONJUG""","",5000,"Fonctionnement",106,"CROZON Pascale",69,"Député","","Pascale","Crozon","F","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/334811.asp","http://www.nosdeputes.fr/pascale-crozon","http://www.nosdeputes.fr/pascale-crozon/xml"
"Association Réseau Semences Paysannes","",5000,"Fonctionnement",224,"LIGNIERES-CASSOU Martine",64,"Député","","Martine","Lignières-Cassou","F","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/1979.asp","http://www.nosdeputes.fr/martine-lignieres-cassou","http://www.nosdeputes.fr/martine-lignieres-cassou/xml"
"Association Ressource","",15000,"NC",204,"CIOT Jean-David",13,"Député","","Jean-David","Ciot","H","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/605557.asp","http://www.nosdeputes.fr/jean-david-ciot","http://www.nosdeputes.fr/jean-david-ciot/xml"
"Association Restos du cœur","",2300,"Fonctionnement",177,"POUMIROL Emilienne",31,"Député","","Émilienne","Poumirol","F","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/606375.asp","http://www.nosdeputes.fr/emilienne-poumirol","http://www.nosdeputes.fr/emilienne-poumirol/xml"
"Association Restos du coeur AD62 B ""","",2200,"Achat d'une presse galicier",177,"MAQUET Jacqueline",62,"Député","","Jacqueline","Maquet","F","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/334116.asp","http://www.nosdeputes.fr/jacqueline-maquet","http://www.nosdeputes.fr/jacqueline-maquet/xml"
"Association Retraite Sportive du Val d'Orge","",1000,"NC",219,"KOSCIUSKO-MORIZET Nathalie",91,"Député","","Nathalie","Kosciusko-Morizet","F","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/267628.asp","http://www.nosdeputes.fr/nathalie-kosciusko-morizet","http://www.nosdeputes.fr/nathalie-kosciusko-morizet/xml"
"Association Retraite Sportive Laval Agglo","",1500,"NC",219,"PICHOT Sylvie",53,"Député","","Sylvie","Pichot","F","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/642844.asp","http://www.nosdeputes.fr/sylvie-pichot","http://www.nosdeputes.fr/sylvie-pichot/xml"
