Parlementaire attributaire,Groupe politique,Chambre,Somme des subventions versées en 2013
Roland du Luart,UMP,Sénat,200320
Patrick Bloche,SRC,Assemblée nationale,200000
Michel Bécot,UMP,Sénat,200000
Jean-Claude Frécon,SOC,Sénat,198642
Dominique de Legge,UMP,Sénat,197773
Alain Marty,UMP,Assemblée nationale,197391
Gérard César,UMP,Sénat,196734
Jean-Marc Roubaud,UMP,Assemblée nationale,194794
Jean-Marie Vanlerenberghe,UDI,Sénat,194292
Jean Ueberschlag,UMP,Assemblée nationale,193573
Jean-Claude Carle,UMP,Sénat,192034
Francis Grignon,UMP,Sénat,191644
Jean-Luc Préel,NC,Assemblée nationale,191359
Philippe Houillon,UMP,Assemblée nationale,191182
Jean-Marie Rolland,UMP,Assemblée nationale,190992
Yannick Favennec,UDI,Assemblée nationale,190544
Antoine Lefèvre,UMP,Sénat,188453
Sylvie Goy-Chavent,UDI,Sénat,187311
David Habib,SRC,Assemblée nationale,187290
Marie-France Beaufils,CRC,Sénat,187049
Edmond Hervé,SOC,Sénat,185709
Hugues Portelli,UMP,Sénat,184914
Bruno Bourg-Broc,UMP,Assemblée nationale,184416
Ladislas Poniatowski,UMP,Sénat,184088
Jean-Léonce Dupont,UDI,Sénat,183349
Yves Krattinger,SOC,Sénat,182373
Charles de La Verpillière,UMP,Assemblée nationale,182309
Alain Gest,UMP,Assemblée nationale,182094
Brigitte Barèges,UMP,Assemblée nationale,181735
Jean-Claude Merceron,UDI,Sénat,181687
Jean-Luc Warsmann,UMP,Assemblée nationale,181468
Auguste Cazalet,UMP,Sénat,179753
NACHBAR Philippe,11ème législature (2002-2007),Assemblée nationale,179705
Jean Louis Masson,NI,Sénat,179151
Philippe Darniche,NI,Sénat,178911
Didier Migaud,SRC,Assemblée nationale,178863
Serge Dassault,UMP,Sénat,178455
Michel Bouvard,UMP,Assemblée nationale,178207
Jean-Pierre Grand,UMP,Assemblée nationale,175976
Daniel Fasquelle,UMP,Assemblée nationale,175914
Didier Gonzales,UMP,Assemblée nationale,175661
Bernard Depierre,UMP,Assemblée nationale,175599
Michèle André,SOC,Sénat,173584
Guy Teissier,UMP,Assemblée nationale,172692
François Scellier,UMP,Assemblée nationale,172597
Pierre Jarlier,UDI,Sénat,172327
Bernard Saugey,UMP,Sénat,171837
Jean-Claude Gouget,SRC,Assemblée nationale,171000
Marie-Louise Fort,UMP,Assemblée nationale,170905
Denis Baupin,ECOLO,Assemblée nationale,170500
Daniel Spagnou,UMP,Assemblée nationale,170296
Aymeri de Montesquiou,UDI,Sénat,170044
Annick Girardin,NI,Assemblée nationale,170000
Albéric de Montgolfier,UMP,Sénat,169864
Thierry Benoit,UDI,Assemblée nationale,168852
Michel Diefenbacher,UMP,Assemblée nationale,168631
Bernard Perrut,UMP,Assemblée nationale,168427
Patrice Verchère,UMP,Assemblée nationale,168144
Jean-Louis Léonard,UMP,Assemblée nationale,166849
Thierry Mariani,UMP,Assemblée nationale,166492
Hervé Maurey,UDI,Sénat,165961
Jean-Pierre Vial,UMP,Sénat,165554
Nicolas Dhuicq,UMP,Assemblée nationale,163947
Charles Revet,UMP,Sénat,162222
Rémy Pointereau,UMP,Sénat,161366
Jean-François Voguet,CRC,Sénat,161341
Daniel Soulage,UC,Sénat,160557
Sandrine Mazetier,SRC,Assemblée nationale,160000
Claude Birraux,UMP,Assemblée nationale,159591
Marie-Hélène Des Esgaulx,UMP,Sénat,158672
Pierre Martin,UMP,Sénat,157789
Alain Claeys,SRC,Assemblée nationale,157254
Gérard Dériot,UMP,Sénat,156696
Bruno Retailleau,UMP,Sénat,156439
Hervé de Charette,NC,Assemblée nationale,156429
Gisèle Gautier,UMP,Sénat,156421
Jean-Jacques Gaultier,UMP,Assemblée nationale,155813
Daniel Poulou,UMP,Assemblée nationale,155477
Christian Cambon,UMP,Sénat,155358
Christian Kert,UMP,Assemblée nationale,155227
Marianne Dubois,UMP,Assemblée nationale,154997
Annie David,CRC,Sénat,154405
Daniel Dubois,UDI,Sénat,153952
