Parlementaire attributaire,Groupe politique,Chambre,Somme des subventions versées en 2013
André Reichardt,UMP,Sénat,77315
Janine Rozier,UMP,Sénat,77108
Hubert Haenel,UMP,Sénat,76955
Luc Chatel,UMP,Assemblée nationale,76751
Jean-Luc Drapeau,SRC,Assemblée nationale,76217
Jean Boyer,UDI,Sénat,76207
Éric Alauzet,ECOLO,Assemblée nationale,75825
CABAL Christian,11ème législature (2002-2007),Assemblée nationale,75547
Jean-Jacques Hyest,UMP,Sénat,75214
Françoise Guégot,UMP,Assemblée nationale,74715
Michel Vergnier,SRC,Assemblée nationale,74664
Jean Glavany,SRC,Assemblée nationale,74663
Michel Lejeune,UMP,Assemblée nationale,74441
Marcel Bonnot,UMP,Assemblée nationale,73929
René Beaumont,UMP,Sénat,73921
Claude Greff,UMP,Assemblée nationale,73465
Marguerite Lamour,UMP,Assemblée nationale,73403
Françoise Laborde,RDSE,Sénat,73307
Philippe Cochet,UMP,Assemblée nationale,73173
Alain Fouché,UMP,Sénat,72852
Jean Faure,UMP,Sénat,72843
Jean-Pierre Bel,SOC,Sénat,72632
Julien Aubert,UMP,Assemblée nationale,72500
Jacques Valax,SRC,Assemblée nationale,72472
Michel Liebgott,SRC,Assemblée nationale,72349
Jean-Pierre Soisson,UMP,Assemblée nationale,71687
Sylvie Desmarescaux,NI,Sénat,71610
Gérard Longuet,UMP,Sénat,71492
Pierre Bordier,UMP,Sénat,71439
Jean-François Le Grand,NI,Sénat,71336
Françoise Imbert,SRC,Assemblée nationale,71015
Marc Dolez,GDR,Assemblée nationale,70923
Florence Delaunay,SRC,Assemblée nationale,70866
Marc Bernier,UMP,Assemblée nationale,70832
Jean-Claude Lenoir,UMP,Assemblée nationale,70782
Éliane Assassi,CRC,Sénat,70369
Jacques Mézard,RDSE,Sénat,70275
Jean-Pierre Cantegrit,UMP,Sénat,70000
Jean-Pierre Caffet,SOC,Sénat,70000
Jean-Philippe Mallé,SRC,Assemblée nationale,70000
Jean-François Copé,UMP,Assemblée nationale,70000
Danièle Hoffman-Rispal,SRC,Assemblée nationale,70000
Esther Sittler,UMP,Sénat,69966
André Villiers,UMP,Sénat,69660
Claude Leteurtre,NC,Assemblée nationale,69590
Jean-Michel Ferrand,UMP,Assemblée nationale,69535
Laurent Béteille,UMP,Sénat,69342
Vincent Delahaye,UDI,Sénat,68956
Alain Fauré,SRC,Assemblée nationale,68658
Raymond Lancelin,UMP,Assemblée nationale,68628
Jean-Luc Reitzer,UMP,Assemblée nationale,68577
François Vannson,UMP,Assemblée nationale,68452
Colette Giudicelli,UMP,Sénat,68294
Michel Pouzol,SRC,Assemblée nationale,68246
Michèle Fournier-Armand,SRC,Assemblée nationale,68000
Michel Destot,SRC,Assemblée nationale,68000
Gilles d' Gilles d'Ettore,UMP,Assemblée nationale,67834
Gérard Roche,UDI,Sénat,67166
Sophie Dion,UMP,Assemblée nationale,67100
Esther Benbassa,ECO,Sénat,67000
Annick Lepetit,SRC,Assemblée nationale,67000
Christian Namy,UDI,Sénat,66945
Roger Karoutchi,UMP,Sénat,66839
François Autain,CRC,Sénat,66750
Pierre Frogier,UMP,Sénat,66600
Daniel Fidelin,UMP,Assemblée nationale,66247
Jean-Louis Borloo,UDI,Assemblée nationale,66171
Martine Carrillon-Couvreur,SRC,Assemblée nationale,66165
Christian Ménard,UMP,Assemblée nationale,65904
Noël Mamère,ECOLO,Assemblée nationale,65773
Michel Savin,UMP,Sénat,65702
Michèle Bonneton,ECOLO,Assemblée nationale,65546
Patrick Lemasle,SRC,Assemblée nationale,65238
Natacha Bouchart,UMP,Sénat,65000
Monique Orphé,SRC,Assemblée nationale,65000
Hervé Gaymard,UMP,Assemblée nationale,65000
Gwendal Rouillard,SRC,Assemblée nationale,65000
Alain Gournac,UMP,Sénat,64887
Bernard Vera,CRC,Sénat,64797
Jacques Le Nay,UMP,Assemblée nationale,64540
Pierre Moscovici,SRC,Assemblée nationale,64247
Adrien Gouteyron,UMP,Sénat,64214
Alex Türk,NI,Sénat,64101
Marie-Annick Duchêne,UMP,Sénat,64000
Gérald Darmanin,UMP,Assemblée nationale,63800
Francis Saint-Léger,UMP,Assemblée nationale,63800
Lionnel Luca,UMP,Assemblée nationale,63782
Jean Puech,UMP,Sénat,63498
Jacques Cresta,SRC,Assemblée nationale,63367
Francis Hillmeyer,UDI,Assemblée nationale,63148
Sébastien Pietrasanta,SRC,Assemblée nationale,63000
Gérard Bapt,SRC,Assemblée nationale,63000
Pierre Forgues,SRC,Assemblée nationale,62832
Isabelle Pasquet,CRC,Sénat,62778
Joël Giraud,RRDP,Assemblée nationale,62499
Jean-Michel Villaumé,SRC,Assemblée nationale,62490
Jean-Yves Le Déaut,SRC,Assemblée nationale,62419
Jean-Claude Beaulieu,UMP,Assemblée nationale,62302
Brigitte Allain,ECOLO,Assemblée nationale,61500
Valérie Boyer,UMP,Assemblée nationale,61377
Philippe Plisson,SRC,Assemblée nationale,61317
Christophe Léonard,SRC,Assemblée nationale,61100
Josselin de Rohan,UMP,Sénat,61059
Jean-Claude Fruteau,SRC,Assemblée nationale,61000
Damien Abad,UMP,Assemblée nationale,60700
André Gerin,GDR,Assemblée nationale,60624
Christophe Sirugue,SRC,Assemblée nationale,60452
Philippe Morenvillier,UMP,Assemblée nationale,60440
Christian Paul,SRC,Assemblée nationale,60435
Bertrand Pancher,UDI,Assemblée nationale,60296
Aurélie Filippetti,SRC,Assemblée nationale,60230
Georges Siffredi,UMP,Assemblée nationale,60209
Philippe Bas,UMP,Sénat,60102
Philippe Le Ray,UMP,Assemblée nationale,60000
Paul Vergès,CRC,Sénat,60000
Mathieu Hanotin,SRC,Assemblée nationale,60000
Michel Zumkeller,UDI,Assemblée nationale,59729
Laurent Furst,UMP,Assemblée nationale,59400
Marc-Philippe Daubresse,UMP,Assemblée nationale,59000
Boinali Said,SRC,Assemblée nationale,59000
Monique Iborra,SRC,Assemblée nationale,58780
Bernard Lesterlin,SRC,Assemblée nationale,58468
Philippe Folliot,UDI,Assemblée nationale,58365
Gilbert Collard,NI,Assemblée nationale,58297
Christiane Longère,UMP,Sénat,58002
Jean-Luc Moudenc,UMP,Assemblée nationale,58000
Arnaud Richard,UDI,Assemblée nationale,58000
Serge Janquin,SRC,Assemblée nationale,57993
Thierry Mandon,SRC,Assemblée nationale,57660
Bernard Piras,SOC,Sénat,57000
Martine Faure,SRC,Assemblée nationale,56926
Michel Lefait,SRC,Assemblée nationale,56142
Alain Néri,SRC,Assemblée nationale,56126
Jean-Pierre Fougerat,SRC,Assemblée nationale,56000
Jean-Louis Lorrain,UMP,Sénat,56000
Philippe Duron,SRC,Assemblée nationale,55815
Christian Bourquin,RDSE,Sénat,55700
François Baroin,UMP,Assemblée nationale,55490
Frédéric Reiss,UMP,Assemblée nationale,55041
Régis Juanico,SRC,Assemblée nationale,55000
Paul Giacobbi,RRDP,Assemblée nationale,55000
Olivier Faure,SRC,Assemblée nationale,55000
Jean-Marie Le Guen,SRC,Assemblée nationale,55000
Olivier Dussopt,SRC,Assemblée nationale,54527
Nicolas Dupont-Aignan,NI,Assemblée nationale,54500
Serge Lagauche,SOCV,Sénat,54496
Vincent Descoeur,UMP,Assemblée nationale,54476
Christian Gaudin,UC,Sénat,54448
Jean Grellier,SRC,Assemblée nationale,54316
Jean François-Poncet,UMP,Sénat,54254
Claudine Schmid,UMP,Assemblée nationale,53700
Catherine Coutelle,SRC,Assemblée nationale,53607
Alain Vidalies,SRC,Assemblée nationale,53595
Jean-Louis Idiart,SRC,Assemblée nationale,53553
Serge Letchimy,SRC,Assemblée nationale,53250
Alain Suguenot,UMP,Assemblée nationale,53243
Bernard Cazeneuve,SRC,Assemblée nationale,53201
Claude Biwer,UC,Sénat,53171
Olivier Véran,SRC,Assemblée nationale,53000
Jean-Pierre Vigier,UMP,Assemblée nationale,53000
Jean Gaubert,SRC,Assemblée nationale,52958
Louis Guédon,UMP,Assemblée nationale,52925
Didier Borotra,UC,Sénat,52785
Jean-Sébastien Vialatte,UMP,Assemblée nationale,52600
Isabelle Debré,UMP,Sénat,52598
Étienne Mourrut,UMP,Assemblée nationale,52525
Christine Marin,UMP,Assemblée nationale,52482
Martine Lignières-Cassou,SRC,Assemblée nationale,52031
Guy Delcourt,SRC,Assemblée nationale,51633
Jean-Claude Sandrier,GDR,Assemblée nationale,51564
Louis Nègre,UMP,Sénat,51548
Georges Tron,UMP,Assemblée nationale,51547
Jean-Claude Perez,SRC,Assemblée nationale,51423
Jean Lassalle,NI,Assemblée nationale,51277
Dominique Raimbourg,SRC,Assemblée nationale,51055
Richard Tuheiava,SOC,Sénat,51000
Laurence Rossignol,SOC,Sénat,50752
Michel Issindou,SRC,Assemblée nationale,50644
Patrick Lebreton,SRC,Assemblée nationale,50539
Frédéric Lefebvre,UMP,Assemblée nationale,50500
Jean-Pierre Dufau,SRC,Assemblée nationale,50396
Jérôme Guedj,SRC,Assemblée nationale,50000
Jacques Le Guen,UMP,Assemblée nationale,50000
Jacqueline Farreyrol,UMP,Sénat,50000
Chantal Berthelot,SRC,Assemblée nationale,50000
Adrien Giraud,UC,Sénat,50000
David Vergé,SRC,Assemblée nationale,49855
Jean-Pierre Godefroy,SOC,Sénat,49625
René Dosière,SRC,Assemblée nationale,49505
Jean-Claude Lenoir,UMP,Sénat,49407
Michèle Alliot-Marie,UMP,Assemblée nationale,49100
Paul Blanc,UMP,Sénat,49082
Yves Bur,UMP,Assemblée nationale,49068
Sébastien Denaja,SRC,Assemblée nationale,49051
Jean Milhau,RDSE,Sénat,48828
François Grosdidier,UMP,Sénat,48554
Bernadette Bourzai,SOC,Sénat,48025
Joël Labbé,ECO,Sénat,48000
Charles-Ange Ginesy,UMP,Assemblée nationale,47984
Joël Guerriau,UDI,Sénat,47928
Pascale Got,SRC,Assemblée nationale,47163
Patrice Prat,SRC,Assemblée nationale,47000
Michel Pajon,SRC,Assemblée nationale,46556
Jean-Jacques Urvoas,SRC,Assemblée nationale,46553
Edouard Philippe,UMP,Assemblée nationale,46500
Marie-Françoise Clergeau,SRC,Assemblée nationale,46400
Sophie Delong,UMP,Assemblée nationale,46227
Bruno Gilles,UMP,Sénat,46110
Alain Dufaut,UMP,Sénat,46102
Guillaume Larrivé,UMP,Assemblée nationale,46000
Jean-Claude Thomas,UMP,Assemblée nationale,45979
Gérard Terrier,SRC,Assemblée nationale,45963
Valérie Létard,UDI,Sénat,45940
Éric Bocquet,CRC,Sénat,45855
Catherine Deroche,UMP,Sénat,45550
Élisabeth Guigou,SRC,Assemblée nationale,45500
Francis Delattre,UMP,Sénat,45464
Marie-Line Reynaud,SRC,Assemblée nationale,45322
Jean-Marie Bockel,UDI,Sénat,45000
Daniel Goldberg,SRC,Assemblée nationale,45000
Claire-Lise Campion,SOC,Sénat,45000
Arnaud Montebourg,SRC,Assemblée nationale,44954
Christophe Béchu,UMP,Sénat,44898
Jack Lang,SRC,Assemblée nationale,44842
Yann Galut,SRC,Assemblée nationale,44756
Dominique Le Mèner,UMP,Assemblée nationale,44540
Françoise Briand,UMP,Assemblée nationale,44508
Jacques Grosperrin,UMP,Assemblée nationale,44290
Jean-David Ciot,SRC,Assemblée nationale,44000
Jean-Michel Clément,SRC,Assemblée nationale,43328
Marie-Hélène Amiable,GDR,Assemblée nationale,42857
Jacqueline Maquet,SRC,Assemblée nationale,42824
Henri Tandonnet,UDI,Sénat,42720
Cécile Dumoulin,UMP,Assemblée nationale,42680
Valérie Corre,SRC,Assemblée nationale,42600
Sylvie Pichot,SRC,Assemblée nationale,42259
Erwann Binet,SRC,Assemblée nationale,42000
Christian Assaf,SRC,Assemblée nationale,42000
Jean-Pierre Chauveau,UMP,Sénat,41931
Jean-Claude Danglot,CRC,Sénat,41863
Colette Langlade,SRC,Assemblée nationale,41132
Christian Bataille,SRC,Assemblée nationale,41078
Jean-Yves Caullet,SRC,Assemblée nationale,41000
Jacques Myard,UMP,Assemblée nationale,41000
Pascal Clément,UMP,Assemblée nationale,40665
Jean-Claude Viollet,SRC,Assemblée nationale,40591
Annick Le Loch,SRC,Assemblée nationale,40436
Josette Pons,UMP,Assemblée nationale,40231
Jean-Louis Bernard,UMP,Assemblée nationale,40161
Alain Tourret,RRDP,Assemblée nationale,40136
Marie-Noëlle Lienemann,SOC,Sénat,40000
Alexis Bachelay,SRC,Assemblée nationale,40000
Guy Lefrand,UMP,Assemblée nationale,39967
Marc Goua,SRC,Assemblée nationale,39870
Bernadette Laclais,SRC,Assemblée nationale,39827
Fabienne Labrette-Ménager,UMP,Assemblée nationale,39528
Chantal Bourragué,UMP,Assemblée nationale,39349
Marylise Lebranchu,SRC,Assemblée nationale,39204
Nathalie Kosciusko-Morizet,UMP,Assemblée nationale,39121
Roger Besse,UMP,Sénat,39070
Yanick Paternotte,UMP,Assemblée nationale,39052
Joëlle Huillier,SRC,Assemblée nationale,39000
Christian Franqueville,SRC,Assemblée nationale,39000
Groupe UMP,UMP,Assemblée nationale,38989
Françoise Férat,UDI,Sénat,38700
Vincent Capo-Canellas,UDI,Sénat,38595
Pierre-Yves Collombat,RDSE,Sénat,38576
David Douillet,UMP,Assemblée nationale,38500
Françoise Hostalier,UMP,Assemblée nationale,38132
Michel Françaix,SRC,Assemblée nationale,38003
René Vandierendonck,SOC,Sénat,38000
Sylvia Pinel,RRDP,Assemblée nationale,37692
Maxime Gremetz,NI,Assemblée nationale,37338
Marie-Hélène Fabre,SRC,Assemblée nationale,37000
Florent Boudié,SRC,Assemblée nationale,36930
Chantal Robin-Rodrigo,SRC,Assemblée nationale,36893
Kheira Bouziane,SRC,Assemblée nationale,36890
François Deluga,SRC,Assemblée nationale,36409
Martine Pinville,SRC,Assemblée nationale,36124
Ségolène Neuville,SRC,Assemblée nationale,36000
François Brottes,SRC,Assemblée nationale,35879
Sophie Primas,UMP,Assemblée nationale,35826
Jean-Claude Etienne,UMP,Sénat,35578
Nathalie Nieson,SRC,Assemblée nationale,35355
Pascal Terrasse,SRC,Assemblée nationale,35325
Jean-Jacques Lasserre,UDI,Sénat,35319
Roland Courteau,SOC,Sénat,35000
Pierre Gosnat,GDR,Assemblée nationale,35000
Marie-Françoise Bechtel,SRC,Assemblée nationale,35000
Jean-Philippe Nilor,GDR,Assemblée nationale,35000
Jacques Cornano,SOC,Sénat,35000
Gabriel Serville,GDR,Assemblée nationale,35000
François Asensi,GDR,Assemblée nationale,35000
Claude Bodin,UMP,Assemblée nationale,34955
Corinne Bouchoux,ECO,Sénat,34910
Guy Chambefort,SRC,Assemblée nationale,34908
Michel Ménard,SRC,Assemblée nationale,34391
Danielle Auroi,ECOLO,Assemblée nationale,34000
DEPREZ Léonce,11ème législature (2002-2007),Assemblée nationale,33918
Laurent Grandguillaume,SRC,Assemblée nationale,33726
Frédéric Roig,SRC,Assemblée nationale,33570
Jean-Marie Morisset,UMP,Assemblée nationale,33366
Marietta Karamanli,SRC,Assemblée nationale,33344
Sophie Rohfritsch,UMP,Assemblée nationale,33000
Jacques Alain Bénisti,UMP,Assemblée nationale,33000
Gélita Hoarau,CRC,Sénat,32642
Stéphane Mazars,RDSE,Sénat,32500
Éric Doligé,UMP,Sénat,32378
Jacqueline Fraysse,GDR,Assemblée nationale,32300
Henriette Martinez,UMP,Assemblée nationale,32143
Yves Foulon,UMP,Assemblée nationale,32000
de PERETTI Jean-Jacques,,Sénat,32000
Barbara Romagnan,SRC,Assemblée nationale,32000
Frédéric Cuvillier,SRC,Assemblée nationale,31989
Ivan Renar,CRC,Sénat,31898
Kléber Mesquida,SRC,Assemblée nationale,31666
Maryvonne Blondin,SOC,Sénat,31617
Laurent Baumel,SRC,Assemblée nationale,31576
Richard Ferrand,SRC,Assemblée nationale,31224
Dominique Le Sourd,UMP,Assemblée nationale,31171
Elisabeth Pochon,SRC,Assemblée nationale,31000
Jean-René Marsac,SRC,Assemblée nationale,30968
Karine Berger,SRC,Assemblée nationale,30950
Marie-Lou Marcel,SRC,Assemblée nationale,30903
Paul Girod,UMP,Sénat,30815
Philippe Martin,SRC,Assemblée nationale,30706
Dominique Leclerc,UMP,Sénat,30598
Jean-Luc Pérat,SRC,Assemblée nationale,30520
Nicolas Sansu,GDR,Assemblée nationale,30423
André Lardeux,UMP,Sénat,30303
Fabrice Verdier,SRC,Assemblée nationale,30289
François Loncle,SRC,Assemblée nationale,30013
Olivier Falorni,RRDP,Assemblée nationale,30000
Nicole Bonnefoy,SOC,Sénat,30000
Luc Belot,SRC,Assemblée nationale,30000
Gérard Sebaoun,SRC,Assemblée nationale,30000
Dominique Gillot,SOC,Sénat,30000
Christiane Demontès,SOC,Sénat,30000
Ary Chalus,RRDP,Assemblée nationale,30000
Gaëtan Gorce,SRC,Assemblée nationale,29600
François-Michel Lambert,ECOLO,Assemblée nationale,29500
Yves Goasdoue,SRC,Assemblée nationale,29464
Raymond Durand,NC,Assemblée nationale,29457
Jean Michel,SRC,Assemblée nationale,29192
Philippe Nauche,SRC,Assemblée nationale,29092
Gilbert Le Bris,SRC,Assemblée nationale,28773
Sandrine Hurel,SRC,Assemblée nationale,28733
Corinne Erhel,SRC,Assemblée nationale,28506
Michel Lezeau,UMP,Assemblée nationale,28500
Philippe Richert,UMP,Sénat,28421
Jean-Noël Carpentier,RRDP,Assemblée nationale,27986
Dominique Braye,UMP,Sénat,27882
Marie-Renée Oget,SRC,Assemblée nationale,27478
Dominique Baert,SRC,Assemblée nationale,27353
Yves Daniel,SRC,Assemblée nationale,27341
Dominique Orliac,RRDP,Assemblée nationale,27209
Gilbert Sauvan,SRC,Assemblée nationale,27000
Simon Sutour,SOC,Sénat,26929
Lucette Lousteau,SRC,Assemblée nationale,26818
Bernard Carayon,UMP,Assemblée nationale,26632
Odile Saugues,SRC,Assemblée nationale,26508
Jean-Luc Fichet,SOC,Sénat,26318
Jean Roatta,UMP,Assemblée nationale,26093
Catherine Génisson,SRC,Assemblée nationale,26023
Henri Guaino,UMP,Assemblée nationale,26000
Eduardo Rihan Cypel,SRC,Assemblée nationale,26000
Arnaud Robinet,UMP,Assemblée nationale,25734
Jean-Claude Buisine,SRC,Assemblée nationale,25500
Pierre Cohen,SRC,Assemblée nationale,25425
François Pupponi,SRC,Assemblée nationale,25392
Jean-Luc Laurent,SRC,Assemblée nationale,25000
Albert Facon,SRC,Assemblée nationale,24753
Claude Bérit-Débat,SOC,Sénat,24733
Jean-Claude Requier,RDSE,Sénat,24562
Pierre Aylagas,SRC,Assemblée nationale,24500
Jean-Noël Cardoux,UMP,Sénat,24339
Paul Salen,UMP,Assemblée nationale,24320
Jean-Marie Tetart,UMP,Assemblée nationale,24000
Jean-Yves Bony,UMP,Assemblée nationale,23981
Bernadette Dupont,UMP,Sénat,23919
Daniel Boisserie,SRC,Assemblée nationale,23614
Jean-Paul Dupré,SRC,Assemblée nationale,23457
Francis Vercamer,UDI,Assemblée nationale,23450
André Vallini,SRC,Assemblée nationale,23205
Valérie Fourneyron,SRC,Assemblée nationale,23082
Jacques Bompard,NI,Assemblée nationale,23000
Catherine Troallic,SRC,Assemblée nationale,23000
Jean-Pierre Allossery,SRC,Assemblée nationale,22962
Jacqueline Panis,UMP,Sénat,22950
Jean Mallot,SRC,Assemblée nationale,22929
Clotilde Valter,SRC,Assemblée nationale,22883
Maxime Bono,SRC,Assemblée nationale,22665
Audrey Linkenheld,SRC,Assemblée nationale,22500
Sabine Buis,SRC,Assemblée nationale,22408
Jean-Claude Leroy,SRC,Assemblée nationale,22174
Valérie Rosso-Debord,UMP,Assemblée nationale,22157
Maud Olivier,SRC,Assemblée nationale,22000
Marion Maréchal-Le Pen,NI,Assemblée nationale,22000
Thomas Thévenoud,NI,Assemblée nationale,21800
Véronique Louwagie,UMP,Assemblée nationale,21790
William Dumas,SRC,Assemblée nationale,21757
CHAMARD Jean-Yves,11ème législature (2002-2007),Assemblée nationale,21678
Jean-Pierre Leleux,UMP,Sénat,21461
Jean-Paul Lecoq,GDR,Assemblée nationale,21240
Christine Pires Beaune,SRC,Assemblée nationale,21182
Gisèle Biémouret,SRC,Assemblée nationale,21102
Yann Capet,SRC,Assemblée nationale,21100
Vincent Burroni,SRC,Assemblée nationale,21000
Philippe Noguès,SRC,Assemblée nationale,21000
Patrick Vignal,SRC,Assemblée nationale,21000
Chaynesse Khirouni,SRC,Assemblée nationale,21000
Jean-Marie Beffara,SRC,Assemblée nationale,20813
Jean-Luc Bleunven,SRC,Assemblée nationale,20500
Olivier Jardé,NC,Assemblée nationale,20360
Bruno Le Maire,UMP,Assemblée nationale,20289
Gilbert Mathon,SRC,Assemblée nationale,20265
Marc Vampa,NC,Assemblée nationale,20203
Jean Marsaudon,UMP,Assemblée nationale,20070
Rémi Pauvros,SRC,Assemblée nationale,20000
Pierre Léautey,SRC,Assemblée nationale,20000
Monique Rabin,SRC,Assemblée nationale,20000
Luc Carvounas,SOC,Sénat,20000
Linda Gourjade,SRC,Assemblée nationale,20000
Jean-Jacques Mirassou,SOC,Sénat,20000
Ibrahim Aboubacar,SRC,Assemblée nationale,20000
Fanny Dombre Coste,SRC,Assemblée nationale,20000
Christian Demuynck,UMP,Sénat,20000
Chantal Guittet,SRC,Assemblée nationale,20000
Annie Le Houerou,SRC,Assemblée nationale,20000
Thierry Repentin,SOC,Sénat,19812
Yvan Lachaud,NC,Assemblée nationale,19676
Mireille Oudit,UMP,Sénat,19096
Estelle Grelier,SRC,Assemblée nationale,19000
Joaquim Pueyo,SRC,Assemblée nationale,18833
Geneviève Fioraso,SRC,Assemblée nationale,18655
Jean-Pierre Kucheida,SRC,Assemblée nationale,18624
Yannick Texier,UMP,Sénat,18528
Jean-Louis Destans,SRC,Assemblée nationale,18371
Édouard Fritch,UDI,Assemblée nationale,18323
Odette Duriez,SRC,Assemblée nationale,18026
Patrick Hetzel,UMP,Assemblée nationale,18000
Edith Gueugneau,SRC,Assemblée nationale,18000
AUBERGER Philippe,11ème législature (2002-2007),Assemblée nationale,17994
Philippe Tourtelier,SRC,Assemblée nationale,17805
Arlette Franco,UMP,Assemblée nationale,17629
Stéphane Travert,SRC,Assemblée nationale,17500
Samia Ghali,SOC,Sénat,17500
Jeanine Dubié,RRDP,Assemblée nationale,17500
Roger-Gérard Schwartzenberg,RRDP,Assemblée nationale,17210
Didier Mathus,SRC,Assemblée nationale,17195
Jean-Pierre Le Roch,SRC,Assemblée nationale,17000
Dominique Potier,SRC,Assemblée nationale,17000
Béatrice Santais,SRC,Assemblée nationale,17000
François Vendasi,RDSE,Sénat,16884
Françoise Dumas,SRC,Assemblée nationale,16860
Jean-Frédéric Poisson,UMP,Assemblée nationale,16768
Didier Robert,UMP,Assemblée nationale,16768
Michel Lesage,SRC,Assemblée nationale,16677
Frédéric Barbier,SRC,Assemblée nationale,16600
Henri Nayrou,SRC,Assemblée nationale,16439
Olivier Audibert Troin,UMP,Assemblée nationale,16000
Jean-Jacques Filleul,SOC,Sénat,16000
Sophie Primas,UMP,Sénat,15680
Claude Léonard,UMP,Sénat,15494
Delphine Batho,SRC,Assemblée nationale,15402
Alain Gérard,UMP,Sénat,15396
Pascale Boistard,SRC,Assemblée nationale,15235
Conchita Lacuey,SRC,Assemblée nationale,15103
Stéphane Saint-André,RRDP,Assemblée nationale,15000
Pascal Popelin,SRC,Assemblée nationale,15000
Paola Zanetti,SRC,Assemblée nationale,15000
Michel Sapin,SRC,Assemblée nationale,15000
Meyer Habib,UDI,Assemblée nationale,15000
Gwenegan Bui,SRC,Assemblée nationale,15000
Groupe écologiste, ECOLO,Sénat,15000
Félix Desplan,SOC,Sénat,15000
Christian Blanc,NC,Assemblée nationale,15000
Carlos Da Silva,SRC,Assemblée nationale,15000
Alain Fauconnier,SOC,Sénat,15000
Alain Le Vern,SOC,Sénat,14787
Jean-Louis Bianco,SRC,Assemblée nationale,14522
Lucienne Malovry,UMP,Sénat,14515
Jacques Bascou,SRC,Assemblée nationale,14513
Josette Durrieu,SOC,Sénat,14500
Christophe Borgel,SRC,Assemblée nationale,14500
Françoise Laurent-Perrigot,SOC,Sénat,14458
Jean-Jacques Cottel,SRC,Assemblée nationale,14137
Isabelle Attard,ECOLO,Assemblée nationale,14074
Brigitte Bourguignon,SRC,Assemblée nationale,14000
Philippe Vuilque,SRC,Assemblée nationale,13711
Carole Delga,SRC,Assemblée nationale,13642
Patricia Schillinger,SOC,Sénat,13500
Christophe Bouillon,SRC,Assemblée nationale,13500
Philippe Kaltenbach,SOC,Sénat,13000
Gilles Lurton,UMP,Assemblée nationale,13000
LEMOINE Jean-Claude,11ème législature (2002-2007),Assemblée nationale,12750
Christophe Castaner,SRC,Assemblée nationale,12710
Henri Torre,UMP,Sénat,12366
Guillaume Garot,SRC,Assemblée nationale,12287
Christian Vanneste,UMP,Assemblée nationale,12255
Yves Durand,SRC,Assemblée nationale,12000
Virginie Duby-Muller,UMP,Assemblée nationale,12000
Thierry Robert,RRDP,Assemblée nationale,12000
Laurent Kalinowski,SRC,Assemblée nationale,12000
André Vairetto,SOC,Sénat,12000
Alain Anziani,SOC,Sénat,12000
SIMON Yves,11ème législature (2002-2007),Assemblée nationale,11570
Dominique Chauvel,SRC,Assemblée nationale,11525
Béatrice Descamps,UMP,Sénat,11400
Pierre Bourguignon,SRC,Assemblée nationale,11202
Georges Mouly,RDSE,Sénat,11138
Guillaume Bachelay,SRC,Assemblée nationale,11000
LEMIERE Jean,11ème législature (2002-2007),Assemblée nationale,10993
Jean-Pierre Barbier,UMP,Assemblée nationale,10400
Annie Genevard,UMP,Assemblée nationale,10258
Yves Dauge,SOCV,Sénat,10000
Sylvie Tolmont,SRC,Assemblée nationale,10000
Serge Bardy,SRC,Assemblée nationale,10000
Paul Molac,ECOLO,Assemblée nationale,10000
Marie Récalde,SRC,Assemblée nationale,10000
Jean-Christophe Fromantin,UDI,Assemblée nationale,10000
Isabelle Bruneau,SRC,Assemblée nationale,10000
Hugues Fourage,SRC,Assemblée nationale,10000
Hélène Vainqueur-Christophe,SRC,Assemblée nationale,10000
Georges Patient,SOC,Sénat,10000
François Lamy,SRC,Assemblée nationale,10000
Émilienne Poumirol,SRC,Assemblée nationale,10000
Emeric Bréhier,SRC,Assemblée nationale,10000
Elie Brun,UMP,Sénat,10000
Dominique Watrin,CRC,Sénat,10000
Dominique Bailly,SOC,Sénat,10000
Catherine Beaubatie,SRC,Assemblée nationale,10000
Nathalie Appéré,SRC,Assemblée nationale,9852
Michel Buillard,UMP,Assemblée nationale,9370
Alain Lambert,UMP,Sénat,9215
Michel Teston,SOC,Sénat,9210
Joseph Bossé,UMP,Assemblée nationale,9046
Cécile Untermaier,SRC,Assemblée nationale,9000
Richard Mallié,UMP,Assemblée nationale,8843
Sylviane Bulteau,SRC,Assemblée nationale,8823
Gilles Cocquempot,SRC,Assemblée nationale,8669
Alain Rodet,SRC,Assemblée nationale,8569
Nadine Morano,UMP,Assemblée nationale,8400
Anne-Marie Escoffier,RDSE,Sénat,8199
Valérie Rabault,SRC,Assemblée nationale,8000
Philippe Baumel,SRC,Assemblée nationale,8000
Olivier Marleix,UMP,Assemblée nationale,8000
DEFONTAINE Jean-Pierre,11ème législature (2002-2007),Assemblée nationale,7809
Henri de Richemont,UMP,Sénat,7800
REGERE Jean-François,11ème législature (2002-2007),Assemblée nationale,7526
Victorin Lurel,SRC,Assemblée nationale,7500
Robert Navarro,SOC,Sénat,7500
Claude Darciaux,SRC,Assemblée nationale,7371
Roland Ries,SOC,Sénat,7000
Françoise Dubois,SRC,Assemblée nationale,7000
Philippe Nogrix,UC,Sénat,6927
Jacques Krabal,RRDP,Assemblée nationale,6787
Sophie Dessus,SRC,Assemblée nationale,6607
Dominique Lefebvre,SRC,Assemblée nationale,6500
Denys Robiliard,SRC,Assemblée nationale,6433
