"bénéficiaire","département","montant versé en 2013 (€)","nature de la subvention","programme budgétaire","attributeur","département attributeur","mandat attributeur","année d'octroi de la subvention","prénom","nom","sexe","groupe","url_institution","url_nosparlementaires","url_nosparlementaires_api"
"ADIFLOR","",74000,"Appui aux activités",185,"DUVERNOIS Louis",999,"Sénateur","","Louis","Duvernois","H","UMP","http://www.senat.fr/senateur/duvernois_louis01041n.html","http://www.nossenateurs.fr/louis-duvernois","http://www.nossenateurs.fr/louis-duvernois/xml"
"ADSEA (Association Départementale pour la Sauvegarde de l'Enfance et de l'Adolescence)","",10000,"ADSEA (Association Départementale pour la Sauvegarde de l'Enfance et de l'Adolescence)",106,"GILLOT Dominique",95,"Sénateur","","Dominique","Gillot","F","SOC","http://www.senat.fr/senateur/gillot_dominique11089x.html","http://www.nossenateurs.fr/dominique-gillot","http://www.nossenateurs.fr/dominique-gillot/xml"
"ADSEA 03 (Association Départementale pour la Sauvegarde de l'Enfance et de l'Adolescence de l'Allier)","",7000,"ADSEA 03 (Association Départementale pour la Sauvegarde de l'Enfance et de l'Adolescence de l'Allier)",106,"SCHURCH Mireille",3,"Sénateur","","Mireille","Schurch","F","CRC","http://www.senat.fr/senateur/schurch_mireille08054y.html","http://www.nossenateurs.fr/mireille-schurch","http://www.nossenateurs.fr/mireille-schurch/xml"
"AEP SKOL DIWAN KISTREBERZH","",5000,"NC",163,"LABBE Joël",56,"Sénateur","","Joël","Labbé","H","ECO","http://www.senat.fr/senateur/labbe_joel11099a.html","http://www.nossenateurs.fr/joel-labbe","http://www.nossenateurs.fr/joel-labbe/xml"
"AFCCRE - Association Française du Conseil des Communes et Régions","",30000,"Les objectifs sont: -Conseiller et informer les collectivités territoriales sur les politiques européenes. -Associer les collectivités territoriales aux politiques européenes. -Développer les échanges et partenariats (jumelages, relations franco-allemandes, coopération décentralisée). - Former et informer les élus et cadres territoriaux. - Participer au dialogue européen et international.",129,"MARC François",29,"Sénateur","","François","Marc","H","SOC","http://www.senat.fr/senateur/marc_francois98046x.html","http://www.nossenateurs.fr/francois-marc","http://www.nossenateurs.fr/francois-marc/xml"
"Agence pour l'Education par le Sport (appels)","",10000,"Subvention fonctionnement",224,"Dotation institutionnelle",75,"Sénat","","","","","","","",""
"AIDER Entretien Espace Rural Florac","",3000,"AIDER Entretien Espace Rural Florac",106,"BERTRAND Alain",48,"Sénateur","","Alain","Bertrand","H","RDSE","http://www.senat.fr/senateur/bertrand_alain11081p.html","http://www.nossenateurs.fr/alain-bertrand","http://www.nossenateurs.fr/alain-bertrand/xml"
"Ainés de Savoie","",2000,"NC",157,"VAIRETTO André",73,"Sénateur","","André","Vairetto","H","SOC","http://www.senat.fr/senateur/vairetto_andre12038d.html","http://www.nossenateurs.fr/andre-vairetto","http://www.nossenateurs.fr/andre-vairetto/xml"
"AKAMASOA","",2500,"Aide à 35 000 personnes démunies de Tananarive",209,"CANTEGRIT Jean-Pierre",999,"Sénateur","","Jean-Pierre","Cantegrit","H","UMP","http://www.senat.fr/senateur/cantegrit_jean_pierre77002u.html","http://www.nossenateurs.fr/jean-pierre-cantegrit","http://www.nossenateurs.fr/jean-pierre-cantegrit/xml"
"Alba Riva","",10000,"Subvention fonctionnement",131,"SAVARY René-Paul",51,"Sénateur","","René-Paul","Savary","H","UMP","http://www.senat.fr/senateur/savary_rene_paul11097x.html","http://www.nossenateurs.fr/rene-paul-savary","http://www.nossenateurs.fr/rene-paul-savary/xml"
"ALEFPA Sport et Jeunesse","",2000,"NC",219,"SCHURCH Mireille",3,"Sénateur","","Mireille","Schurch","F","CRC","http://www.senat.fr/senateur/schurch_mireille08054y.html","http://www.nossenateurs.fr/mireille-schurch","http://www.nossenateurs.fr/mireille-schurch/xml"
"Alliance des jeunes pour la formation et l'emploi à la Réunion (A.J.F.E.R)","",10000,"NC",163,"VERGES Paul",974,"Sénateur","","Paul","Vergès","H","CRC","http://www.senat.fr/senateur/verges_paul96003c.html","http://www.nossenateurs.fr/paul-verges","http://www.nossenateurs.fr/paul-verges/xml"
"Alliance éthio-française d'Addis-Abeba","",8000,"Appui aux activités",185,"ANGO ELA Kalliopi",999,"Sénateur","","Kalliopi","Ango Ela","F","ECO","http://www.senat.fr/senateur/ango_ela_kalliopi12040w.html","http://www.nossenateurs.fr/kalliopi-ango-ela","http://www.nossenateurs.fr/kalliopi-ango-ela/xml"
"Alliance Française","",5000,"Acquisition matériels informatiques",185,"DUVERNOIS Louis",999,"Sénateur","","Louis","Duvernois","H","UMP","http://www.senat.fr/senateur/duvernois_louis01041n.html","http://www.nossenateurs.fr/louis-duvernois","http://www.nossenateurs.fr/louis-duvernois/xml"
"Alliance Française","",5000,"Création médiathèque",185,"DUVERNOIS Louis",999,"Sénateur","","Louis","Duvernois","H","UMP","http://www.senat.fr/senateur/duvernois_louis01041n.html","http://www.nossenateurs.fr/louis-duvernois","http://www.nossenateurs.fr/louis-duvernois/xml"
"Alliance Française","",5000,"Formations de FLE pour les enseignants de l'AF",185,"DUVERNOIS Louis",999,"Sénateur","","Louis","Duvernois","H","UMP","http://www.senat.fr/senateur/duvernois_louis01041n.html","http://www.nossenateurs.fr/louis-duvernois","http://www.nossenateurs.fr/louis-duvernois/xml"
"Alliance française","",6000,"Achat matériel audiovisuel",185,"FRASSA Christophe",999,"Sénateur","","Christophe-André","Frassa","H","UMP","http://www.senat.fr/senateur/frassa_christophe_andre08018u.html","http://www.nossenateurs.fr/christophe-andre-frassa","http://www.nossenateurs.fr/christophe-andre-frassa/xml"
