"bénéficiaire","département","montant versé en 2013 (€)","nature de la subvention","programme budgétaire","attributeur","département attributeur","mandat attributeur","année d'octroi de la subvention","prénom","nom","sexe","groupe","url_institution","url_nosparlementaires","url_nosparlementaires_api"
"MARESVILLE",62,454,"L'acquisition de matériel destiné à la cuisine de la salle des fêtes",122,"FASQUELLE Daniel",62,"Député",2008,"Daniel","Fasquelle","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/334149.asp","http://www.nosdeputes.fr/daniel-fasquelle","http://www.nosdeputes.fr/daniel-fasquelle/xml"
"MAREUIL-SUR-ARNON",18,500,"La mise en sécurité et en accessibilité de la mairie et de l'agence postale",122,"SANDRIER Jean-Claude",18,"Député",2011,"Jean-Claude","Sandrier","H","GDR","http://www.assembleenationale.fr/13/tribun/fiches_id/2671.asp","http://2007-2012.nosdeputes.fr/jean-claude-sandrier","http://2007-2012.nosdeputes.fr/jean-claude-sandrier/xml"
"MAREUIL-SUR-CHER",41,7616,"Le remplacement des menuiseries extérieures d'un bâtiment scolaire",122,"MARTIN-LALANDE Patrice",41,"Député",2012,"Patrice","Martin-Lalande","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/2099.asp","http://www.nosdeputes.fr/patrice-martin-lalande","http://www.nosdeputes.fr/patrice-martin-lalande/xml"
"MAREUIL-SUR-CHER",41,18400,"L'aménagement extérieur et intérieur de la mairie",122,"MARTIN-LALANDE Patrice",41,"Député",2006,"Patrice","Martin-Lalande","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/2099.asp","http://www.nosdeputes.fr/patrice-martin-lalande","http://www.nosdeputes.fr/patrice-martin-lalande/xml"
"MAREUIL-SUR-LAY-DISSAIS",85,10852,"L'installation d'un ensemble modulaire et la mise en sécurité de l'école",122,"CAILLAUD Dominique",85,"Député",2010,"Dominique","Caillaud","H","UMP","http://www.assembleenationale.fr/13/tribun/fiches_id/707.asp","http://2007-2012.nosdeputes.fr/dominique-caillaud","http://2007-2012.nosdeputes.fr/dominique-caillaud/xml"
"MARGENCEL",74,9821,"Le dévoiement de la route départementale 133 au chef-lieu",122,"FRANCINA Marc",74,"Député",2012,"Marc","Francina","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/267532.asp","http://www.nosdeputes.fr/marc-francina","http://www.nosdeputes.fr/marc-francina/xml"
"MARGERIDES",19,15000,"La réhabilitation et l'extension de la cantine",122,"DUPONT Jean-Pierre",19,"Député",2010,"Jean-Pierre","Dupont","H","UMP","http://www.assembleenationale.fr/13/tribun/fiches_id/1205.asp","http://2007-2012.nosdeputes.fr/jean-pierre-dupont","http://2007-2012.nosdeputes.fr/jean-pierre-dupont/xml"
"MARGNY-AUX-CERISES",60,15000,"Le remplacement des grilles et des portails de l'école",122,"GONNOT François-Michel",60,"Député",2012,"François-Michel","Gonnot","H","UMP","http://www.assemblee-nationale.fr/13/tribun/fiches_id/1514.asp","http://2007-2012.nosdeputes.fr/francois-michel-gonnot","http://2007-2012.nosdeputes.fr/francois-michel-gonnot/xml"
"MARGUERAY",50,2200,"La restauration de la toiture de l'église",122,"ACCOYER Bernard",74,"Député",2011,"Bernard","Accoyer","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/230.asp","http://www.nosdeputes.fr/bernard-accoyer","http://www.nosdeputes.fr/bernard-accoyer/xml"
"MARIGNAC",17,7045,"La restauration de la nef de l'église Saint-Sulpice",122,"BUSSEREAU Dominique",17,"Député",2012,"Dominique","Bussereau","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/696.asp","http://www.nosdeputes.fr/dominique-bussereau","http://www.nosdeputes.fr/dominique-bussereau/xml"
"MARIGNIER",74,67188,"L'aménagement d'un ensemble sportif aux Prés Paris (phase 1)",122,"ACCOYER Bernard",74,"Député",2011,"Bernard","Accoyer","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/230.asp","http://www.nosdeputes.fr/bernard-accoyer","http://www.nosdeputes.fr/bernard-accoyer/xml"
"MARIGNY",39,10000,"Le ravalement des façades de l'église",122,"DALLOZ Marie-Christine",39,"Député",2012,"Marie-Christine","Dalloz","F","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/332523.asp","http://www.nosdeputes.fr/marie-christine-dalloz","http://www.nosdeputes.fr/marie-christine-dalloz/xml"
"MARIGNY-BRIZAY",86,15000,"La réfection des peintures et des sols de la mairie et de la salle des fêtes et l'acquisition de mobilier",122,"CLAEYS Alain",86,"Député",2011,"Alain","Claeys","H","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/872.asp","http://www.nosdeputes.fr/alain-claeys","http://www.nosdeputes.fr/alain-claeys/xml"
"MARIGNY-CHEMEREAU",86,1500,"L'acquisition d'un tracteur",122,"COUTELLE Catherine",86,"Député",2011,"Catherine","Coutelle","F","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/336421.asp","http://www.nosdeputes.fr/catherine-coutelle","http://www.nosdeputes.fr/catherine-coutelle/xml"
"MARIGNY-MARMANDE",37,13576,"L'installation d'une chaudière à bois à la Résidence Saint-Vincent",122,"NOVELLI Hervé",37,"Député",2011,"Hervé","Novelli","H","UMP","http://www.assembleenationale.fr/13/tribun/fiches_id/2283.asp","http://2007-2012.nosdeputes.fr/herve-novelli","http://2007-2012.nosdeputes.fr/herve-novelli/xml"
"MARILLAC-LE-FRANC",16,3585,"La réfection du court de tennis",122,"PINVILLE Martine",16,"Député",2012,"Martine","Pinville","F","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/330981.asp","http://www.nosdeputes.fr/martine-pinville","http://www.nosdeputes.fr/martine-pinville/xml"
"MARIMBAULT",33,3801,"L'extension de la salle des fêtes-foyer rural",122,"DELUGA François",33,"Député",2010,"François","Deluga","H","SRC","http://www.assembleenationale.fr/13/tribun/fiches_id/1066.asp","http://2007-2012.nosdeputes.fr/francois-deluga","http://2007-2012.nosdeputes.fr/francois-deluga/xml"
"MARIOL",3,5390,"La réfection de la voirie (programme 2009)",122,"CHARASSE Gérard",3,"Député",2009,"Gérard","Charasse","H","RRDP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/815.asp","http://www.nosdeputes.fr/gerard-charasse","http://www.nosdeputes.fr/gerard-charasse/xml"
"MARLENHEIM",67,7554,"La restauration du chemin de croix et des stations situées dans la montée vers la chapelle",122,"FERRY Alain",67,"Député",2012,"Alain","Ferry","H","UMP","http://www.assemblee-nationale.fr/13/tribun/fiches_id/1304.asp","http://2007-2012.nosdeputes.fr/alain-ferry","http://2007-2012.nosdeputes.fr/alain-ferry/xml"
"MARLIOZ",74,60000,"La réhabilitation de l'ancien presbytère en logements",122,"ACCOYER Bernard",74,"Député",2010,"Bernard","Accoyer","H","UMP","http://www.assemblee-nationale.fr/14/tribun/fiches_id/230.asp","http://www.nosdeputes.fr/bernard-accoyer","http://www.nosdeputes.fr/bernard-accoyer/xml"
"MARMAGNE",18,500,"La requalification de la rue des Sables avec création d'une piste cyclable",122,"Groupe GDR",75,"Assemblée nationale",2013,"","","","","","",""
"MARNAY",86,4480,"Aménagement d'une salle réservée aux mariages et aux élections",122,"CHAMARD Jean-Yves",86,"Député",2007,"","","","11ème législature (2002-2007)","","",""
"MARNAY",86,17198,"Aménagement de la place de la Mairie",122,"CHAMARD Jean-Yves",86,"Député",2007,"","","","11ème législature (2002-2007)","","",""
"MARNAY",71,17638,"La restauration de la toiture de l'église",122,"SIRUGUE Christophe",71,"Député",2013,"Christophe","Sirugue","H","SRC","http://www.assemblee-nationale.fr/14/tribun/fiches_id/335017.asp","http://www.nosdeputes.fr/christophe-sirugue","http://www.nosdeputes.fr/christophe-sirugue/xml"
"MAROEUIL",62,1104,"Création d'une bibliothèque municipale",122,"GENISSON Catherine",62,"Député",2007,"Catherine","Génisson","F","SRC","http://www.assembleenationale.fr/13/tribun/fiches_id/1452.asp","http://2007-2012.nosdeputes.fr/catherine-genisson","http://2007-2012.nosdeputes.fr/catherine-genisson/xml"
"MAROLLES-EN-HUREPOIX",91,6000,"L'aménagement paysager de l'avenue Charles de Gaulle",122,"COLOT Geneviève",91,"Député",2012,"Geneviève","Colot","F","UMP","http://www.assemblee-nationale.fr/13/tribun/fiches_id/911.asp","http://2007-2012.nosdeputes.fr/genevieve-colot","http://2007-2012.nosdeputes.fr/genevieve-colot/xml"
